Geography,County,countyfips,Female Percent Bach
0500000US51001,"Accomack County, Virginia",51001,0.13513627
0500000US51003,"Albemarle County, Virginia",51003,0.330217562
0500000US51005,"Alleghany County, Virginia",51005,0.109367996
0500000US51007,"Amelia County, Virginia",51007,0.14390507
0500000US51009,"Amherst County, Virginia",51009,0.153933517
0500000US51011,"Appomattox County, Virginia",51011,0.203104213
0500000US51013,"Arlington County, Virginia",51013,0.355584832
0500000US51015,"Augusta County, Virginia",51015,0.156429994
0500000US51017,"Bath County, Virginia",51017,0.147268409
0500000US51019,"Bedford County, Virginia",51019,0.208318806
0500000US51021,"Bland County, Virginia",51021,0.099293643
0500000US51023,"Botetourt County, Virginia",51023,0.162037412
0500000US51025,"Brunswick County, Virginia",51025,0.083036004
0500000US51027,"Buchanan County, Virginia",51027,0.063033
0500000US51029,"Buckingham County, Virginia",51029,0.07066646
0500000US51031,"Campbell County, Virginia",51031,0.180548254
0500000US51033,"Caroline County, Virginia",51033,0.16932242
0500000US51035,"Carroll County, Virginia",51035,0.113250985
0500000US51036,"Charles City County, Virginia",51036,0.159985356
0500000US51037,"Charlotte County, Virginia",51037,0.120510679
0500000US51041,"Chesterfield County, Virginia",51041,0.269528109
0500000US51043,"Clarke County, Virginia",51043,0.201945783
0500000US51045,"Craig County, Virginia",51045,0.226552351
0500000US51047,"Culpeper County, Virginia",51047,0.174931756
0500000US51049,"Cumberland County, Virginia",51049,0.082587749
0500000US51051,"Dickenson County, Virginia",51051,0.094706484
0500000US51053,"Dinwiddie County, Virginia",51053,0.130383712
0500000US51057,"Essex County, Virginia",51057,0.161528662
0500000US51059,"Fairfax County, Virginia",51059,0.324839154
0500000US51061,"Fauquier County, Virginia",51061,0.255788132
0500000US51063,"Floyd County, Virginia",51063,0.157197779
0500000US51065,"Fluvanna County, Virginia",51065,0.241679312
0500000US51067,"Franklin County, Virginia",51067,0.146763434
0500000US51069,"Frederick County, Virginia",51069,0.160039338
0500000US51071,"Giles County, Virginia",51071,0.144185664
0500000US51073,"Gloucester County, Virginia",51073,0.155692128
0500000US51075,"Goochland County, Virginia",51075,0.269729361
0500000US51077,"Grayson County, Virginia",51077,0.119228521
0500000US51079,"Greene County, Virginia",51079,0.173735309
0500000US51081,"Greensville County, Virginia",51081,0.103291714
0500000US51083,"Halifax County, Virginia",51083,0.111762565
0500000US51085,"Hanover County, Virginia",51085,0.275941448
0500000US51087,"Henrico County, Virginia",51087,0.289201747
0500000US51089,"Henry County, Virginia",51089,0.117133658
0500000US51091,"Highland County, Virginia",51091,0.298701299
0500000US51093,"Isle of Wight County, Virginia",51093,0.193456401
